recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-000744,5-Nov-20,JEEP,CHEROKEE,2013 - 2018,"2,609",The differential gear splines inside the Power Transfer Unit (PTU) may fail. Wear on the PTU splines can cause a loss of power while the vehicle is moving and the loss of the PARK function while stationary. The differential gear splines inside the Power Transfer Unit (PTU) may fail. Wear on the PTU splines can cause a loss of power while the vehicle is moving and the loss of the PARK function while stationary. What are the hazards? A loss of power or PARK function increases the risk of an accident and serious injury or death to the vehicle occupants and other road users.,https://www.vehiclerecalls.gov.au/recalls/rec-000744
REC-000790,17-Mar-20,KIA,CARNIVAL,2010 - 2015,"12,123","The fuel rail in petrol vehicles may develop a small heat induced crack, which can result in fuel leakage. The fuel rail in petrol vehicles may develop a small heat induced crack, which can result in fuel leakage. What are the hazards? If a fuel rail leaks, this can cause fuel to leak onto the road surface and cause a fire, increasing the risk of injury to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000790
REC-000791,17-Mar-20,KIA,"SORENTO, CARNIVAL",2005 - 2010,"18,091","The Hydraulic Electronic Control Unit (HECU), responsible for the Anti-lock Braking System, Electronic Stability Control System and Traction Control System, can remain live even when the vehicle is switched off. If moisture enters the HECU, an electrical short circuit can occur. The Hydraulic Electronic Control Unit (HECU), responsible for the Anti-lock Braking System, Electronic Stability Control System and Traction Control System, can remain live even when the vehicle is switched off. If moisture enters the HECU, an electrical short circuit can occur. What are the hazards? If an electrical short circuit occurs, this could result in an engine compartment fire when the key is switched off. This could increase the risk of injury to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000791
REC-000792,31-Aug-20,KIA,SELTOS,2019 - 2020,"2,469",Australian Design Rule (ADR) 25 requires an anti-theft lock to be fitted as an anti-theft preventative measure. During the manufacturing process the anti-theft lock that is fitted to the steering column shaft was not installed. Australian Design Rule (ADR) 25 requires an anti-theft lock to be fitted as an anti-theft preventative measure. During the manufacturing process the anti-theft lock that is fitted to the steering column shaft was not installed. What are the hazards? The vehicle is not compliant with the Australian Design Rule 25/01.,https://www.vehiclerecalls.gov.au/recalls/rec-000792
REC-000793,30-Aug-20,KIA,CARNIVAL,2019 - 2020,"2,241","The positive terminal on the alternator may not have been tightened to specification during assembly. Should the terminal become loose, this may increase the resistance to the alternator and may lead to heat being generated, which could result in a fire within the engine compartment. The positive terminal on the alternator may not have been tightened to specification during assembly. Should the terminal become loose, this may increase the resistance to the alternator and may lead to heat being generated, which could result in a fire within the engine compartment. What are the hazards? If the vehicle alternator overheats and this results in an engine compartment fire, this increases the risk of an accident, serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000793
REC-000794,2-Dec-20,KIA,SORENTO,2020,633,"Fuel may leak from the low pressure fuel line hose clamp. Fuel may leak from the low pressure fuel line hose clamp. What are the hazards? A fuel leak may result in an engine fire, increasing the risk of an accident and injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000794
REC-000795,20-Oct-20,KIA,STINGER,2020,372,"A plastic burr may remain after the moulding process of the fuel pump's jet nozzle housing, potentially blocking the nozzle. A plastic burr may remain after the moulding process of the fuel pump's jet nozzle housing, potentially blocking the nozzle. What are the hazards? A blocked nozzle can result in insufficient supply of fuel to the engine. An insufficient supply of fuel to the engine can result in the vehicle losing power or stalling. This can result in serious injury or death of vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000795
REC-000820,13-Dec-20,LAMBORGHINI,URUS,2018 - 2020,147,"The quality of the quick connector of the fuel line located in the engine compartment may not meet operating specifications at high engine compartment temperatures. This can lead to the quick connect material softening, which could result in a fuel leak. The quality of the quick connector of the fuel line located in the engine compartment may not meet operating specifications at high engine compartment temperatures. This can lead to the quick connect material softening, which could result in a fuel leak. What are the hazards? Fuel leakage in the presence of an ignition source may cause a fire, increasing the risk of serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000820
REC-000821,14-Apr-21,LAMBORGHINI,AVENTADOR SVJ,2018 - 2020,22,"The hood hinges may loosen and may not hold the hood closed. The hood may unlatch and flip open or detach from the vehicle. The hood hinges may loosen and may not hold the hood closed. The hood may unlatch and flip open or detach from the vehicle. What are the hazards? If the hood flips open or detaches from the vehicle, there is an increased risk of an accident and injury or death to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000821
REC-000824,9-Oct-19,LAMBORGHINI,AVENTADOR S,2017 - 2018,38,"Due to a software fault, the vehicle may not maintain the minimum idle speed required to keep the engine running when idling. Due to a software fault, the vehicle may not maintain the minimum idle speed required to keep the engine running when idling. What are the hazards? If the engine does not maintain the minimum idle speed, the vehicle may stall. It is still possible to restart the engine after the problem occurs. However, stalling increases the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000824
REC-000827,3-May-21,LAND ROVER,DISCOVERY,2018 - 2020,"1,541","There may be insufficient contact of the startup battery ground stud to the chassis. There may be insufficient contact of the startup battery ground stud to the chassis. What are the hazards? Vehicles may exhibit a range of electrical faults, including cutting out while being driven and losing all electrical power. This could increase the risk of an accident that may result in death or injury to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000827
REC-000828,9-Dec-20,LAND ROVER,"DISCOVERY SPORT, EVOQUE",2018 - 2020,"1,728","An electrical overload in the 48V electrical system may cause a failure of the metal oxide semiconductor field effect transistor (MOSFET). Failure of the MOSFET may cause an electrical cascade failure, causing the DC/DC converter to experience an electrical short where the 12V circuit shorts to ground. When the DC/DC converter experiences an electrical short to ground, the 12V electrical system will discharge, this will be indicated by a battery warning on the instrument cluster. An electrical overload in the 48V electrical system may cause a failure of the metal oxide semiconductor field effect transistor (MOSFET). Failure of the MOSFET may cause an electrical cascade failure, causing the DC/DC converter to experience an electrical short where the 12V circuit shorts to ground. When the DC/DC converter experiences an electrical short to ground, the 12V electrical system will discharge, this will be indicated by a battery warning on the instrument cluster.",https://www.vehiclerecalls.gov.au/recalls/rec-000828
